avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
264.58,70.56,5,3,0.7,2,2,2,5,203.28,478.8866666666667
329.0,12.86,5,4,0.7,2,2,2,5,203.96800000000002,448.805
330.74,5.28,5,5,0.7,2,2,2,5,202.55599999999998,360.39199999999994
330.9,3.56,5,6,0.7,2,2,2,5,202.832,298.52000000000004
331.16,2.38,5,7,0.7,2,2,2,5,201.196,256.68
332.12,1.62,5,8,0.7,2,2,2,5,201.74800000000002,227.79
332.3,1.12,5,9,0.7,2,2,2,5,204.052,202.04666666666665
331.36,1.0,5,10,0.7,2,2,2,5,203.13600000000002,181.31400000000002
89.64,245.98,6,1,0.7,2,2,2,5,169.3766666666667,481.8
180.06,156.12,6,2,0.7,2,2,2,5,169.76000000000002,480.49
261.58,71.86,6,3,0.7,2,2,2,5,168.63666666666668,478.76666666666665
329.0,11.32,6,4,0.7,2,2,2,5,169.54000000000002,443.805
329.52,5.32,6,5,0.7,2,2,2,5,168.94666666666666,359.432
330.68,3.54,6,6,0.7,2,2,2,5,168.26666666666668,299.1666666666667
331.46,2.26,6,7,0.7,2,2,2,5,168.51999999999998,256.03142857142853
329.8,1.36,6,8,0.7,2,2,2,5,168.46666666666667,224.5925
331.0,0.48,6,9,0.7,2,2,2,5,169.14666666666665,199.03555555555553
330.42,0.08,6,10,0.7,2,2,2,5,168.23333333333332,178.04399999999998
88.72,246.02,7,1,0.7,2,2,2,5,145.02285714285713,481.56
176.04,156.74,7,2,0.7,2,2,2,5,144.38,480.84000000000003
263.98,69.0,7,3,0.7,2,2,2,5,144.51142857142858,478.44
329.12,12.46,7,4,0.7,2,2,2,5,145.21142857142857,448.51
329.52,5.32,7,5,0.7,2,2,2,5,143.87428571428572,358.58399999999995
332.02,3.52,7,6,0.7,2,2,2,5,145.2742857142857,301.5933333333333
332.94,2.44,7,7,0.7,2,2,2,5,144.84857142857143,259.5142857142857
331.12,1.26,7,8,0.7,2,2,2,5,144.68857142857146,226.52249999999998
328.56,0.34,7,9,0.7,2,2,2,5,143.31428571428572,197.56
332.74,0.12,7,10,0.7,2,2,2,5,145.14000000000001,180.69000000000003
